Time (UTCG),Position (x),Position (y),Position (z)
1 Oct 2025 06:51:00.000,179.8726752728004,-1533.1738388388203,6702.67362035946
1 Oct 2025 06:51:10.000,124.03361033045007,-1480.9208713783667,6715.6755685668795
1 Oct 2025 06:51:20.000,68.35795572761788,-1428.4293936695703,6727.832287040324
1 Oct 2025 06:51:30.000,12.821161095433013,-1375.5168882846353,6739.183872473997
1 Oct 2025 06:51:40.000,-42.56254227910148,-1322.2078897777474,6749.723232038591
1 Oct 2025 06:51:50.000,-97.81368652315825,-1268.73464141635,6759.404935824345
1 Oct 2025 06:52:00.000,-152.85090013916198,-1214.8321025533562,6768.281102351166
1 Oct 2025 06:52:10.000,-207.73105875427254,-1160.6699633439546,6776.319253216199
1 Oct 2025 06:52:20.000,-262.446924906738,-1106.2722026262343,6783.516345321033
1 Oct 2025 06:52:30.000,-316.930453257959,-1051.405474523703,6789.9124201842915
1 Oct 2025 06:52:40.000,-371.2392628468772,-996.3993199150419,6795.45284444577
1 Oct 2025 06:52:50.000,-425.3593753535546,-941.0938128036045,6800.163356304438
1 Oct 2025 06:53:00.000,-479.23376128460797,-885.4749147757133,6804.048694287714
1 Oct 2025 06:53:10.000,-532.9183813608807,-829.6351714234974,6807.092860453073
1 Oct 2025 06:53:20.000,-586.3505865781256,-773.5096637326909,6809.308725625476
1 Oct 2025 06:53:30.000,-639.5799919018076,-717.1849747775688,6810.6822844587705
1 Oct 2025 06:53:40.000,-692.5783326700081,-660.6150144050026,6811.221154885292
1 Oct 2025 06:53:50.000,-745.2841344316025,-603.7584433315645,6810.935148369518
1 Oct 2025 06:54:00.000,-797.7081224402523,-546.6588405238198,6809.819052862616
1 Oct 2025 06:54:10.000,-849.9589816238645,-489.4104893863631,6807.852636175809
1 Oct 2025 06:54:20.000,-901.8309820198574,-431.88693973181176,6805.070474894209
1 Oct 2025 06:54:30.000,-953.4791470059845,-374.20170393086715,6801.445448786299
1 Oct 2025 06:54:40.000,-1004.9143227821232,-316.3316288790928,6796.976679676094
1 Oct 2025 06:54:50.000,-1055.9279641451408,-258.2359179348049,6791.696395343734
1 Oct 2025 06:55:00.000,-1106.7846910397689,-199.9924871923372,6785.561234378338
1 Oct 2025 06:55:10.000,-1157.1617244656798,-141.54575199153226,6778.624543117004
1 Oct 2025 06:55:20.000,-1207.420678936507,-82.97171585485103,6770.824283549353
1 Oct 2025 06:55:30.000,-1257.1935326707412,-24.211770016740275,6762.2250379366005
1 Oct 2025 06:55:40.000,-1306.7888985563018,34.68693063285599,6752.77053422264
1 Oct 2025 06:55:50.000,-1356.0136019207102,93.71022416279192,6742.496289320555
1 Oct 2025 06:56:00.000,-1404.877301307352,152.89248506209924,6731.400625739269
1 Oct 2025 06:56:10.000,-1453.3678050073847,212.17430096415092,6719.487647357648
1 Oct 2025 06:56:20.000,-1501.5551088515685,271.59588332031694,6706.741263221788
1 Oct 2025 06:56:30.000,-1549.381321436348,331.0948016166595,6693.175946918971
1 Oct 2025 06:56:40.000,-1596.7509735984863,390.6978384692689,6678.813533194985
1 Oct 2025 06:56:50.000,-1643.915448202974,450.40126149113735,6663.594432826632
1 Oct 2025 06:57:00.000,-1690.6276059342779,510.1964223404141,6647.577589506144
1 Oct 2025 06:57:10.000,-1736.9900298177909,570.0691172037914,6630.738812479856
1 Oct 2025 06:57:20.000,-1782.9756662677669,629.994413364749,6613.086702420039
1 Oct 2025 06:57:30.000,-1828.5280966257637,689.9976541339479,6594.634101917223
1 Oct 2025 06:57:40.000,-1873.6202839733066,749.995951623694,6575.398205324445
1 Oct 2025 06:57:50.000,-1918.4013815563917,810.0737345468353,6555.328005986942
